name,street,namestreet2,address,zip,physicalname,physicalstreet,website
East Unit,P.O. Box 5000,,"Florence, AZ 85132",85132,,,https://www.prisonpro.com/content/florence-arizona-prison-complex
Globe Unit,P.O. Box 2799,,"Globe, AZ 85502",85502,,,https://www.prisonpro.com/content/florence-arizona-prison-complex
Kasson Unit,P.O. Box 8200,,"Florence, AZ 85132",85132,,,https://www.prisonpro.com/content/florence-arizona-prison-complex
North Unit,P.O. Box 7000,,"Florence, AZ 85132",85132,,,https://www.prisonpro.com/content/florence-arizona-prison-complex
South Unit,P.O. Box 8400,,"Florence, AZ 85132",85132,,,https://www.prisonpro.com/content/florence-arizona-prison-complex
Cerbat Unit,PO Box 3009,,"Kingman, AZ 86402",86402,,,https://www.prisonpro.com/content/kingman-arizona-state-prison-complex
Hualapai Unit,PO Box 6639,,"Kingman, AZ 86402",86402,,,https://www.prisonpro.com/content/kingman-arizona-state-prison-complex
Bachman Unit,P.O. Box 3500,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Barchey Unit,P.O. Box 3200,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Buckley Unit,P.O. Box 3400,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Eagle Point Unit,P.O. Box 3700,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Morey Unit,P.O. Box 3300,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Rast Unit,P.O. Box 3600,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Stiner Unit,P.O. Box 3100,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Sunrise Unit,P.O. Box 3700,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Complex Detention,P.O. Box 3000,,"Goodyear, AZ 85395",85395,,,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
Complex Minors,P.O. Box 3000,,"Goodyear, AZ 85395",85395,,,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
Lumley Unit,P.O. Box 3300,,"Goodyear, AZ 85395",85395,,,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
Piestewa Unit,P.O. Box 3600,,"Goodyear, AZ 85395",85395,,,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
San Carlos Unit,P.O. Box 3700,,"Goodyear, AZ 85395",85395,,,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
San Pedro Unit,P.O. Box 3100,,"Goodyear, AZ 85395",85395,,,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
Santa Cruz Unit,P.O. Box 3200,,"Goodyear, AZ 85395",85395,,,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
Santa Maria Unit,P.O. Box 3400,,"Goodyear, AZ 85395",85395,,,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
Santa Rosa Unit,P.O. Box 3500,,"Goodyear, AZ 85395",85395,,,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
Special Management,P.O. Box 3300,,"Goodyear, AZ 85395",85395,,,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
Alhambra Reception,P.O. Box 52109,,"Phoenix, AZ 85072",85072,,,https://www.prisonpro.com/content/phoenix-arizona-state-prison-complex
Aspen SPU,P.O. Box 52109,,"Phoenix, AZ 85072",85072,,,https://www.prisonpro.com/content/phoenix-arizona-state-prison-complex
B - Ward,P.O. Box 52109,,"Phoenix, AZ 85072",85072,,,https://www.prisonpro.com/content/phoenix-arizona-state-prison-complex
Flamenco Females,P.O. Box 52109,,"Phoenix, AZ 85072",85072,,,https://www.prisonpro.com/content/phoenix-arizona-state-prison-complex
Flamenco Males,P.O. Box 52109,,"Phoenix, AZ 85072",85072,,,https://www.prisonpro.com/content/phoenix-arizona-state-prison-complex
Inmate Worker,P.O. Box 52109,,"Phoenix, AZ 85072",85072,,,https://www.prisonpro.com/content/phoenix-arizona-state-prison-complex
Ft. Grant Unit,896 S. Cook Road,,"Safford, AZ 85546",85546,,,https://www.prisonpro.com/content/safford-arizona-state-prison-complex
Graham Unit,896 S. Cook Road,,"Safford, AZ 85546",85546,,,https://www.prisonpro.com/content/safford-arizona-state-prison-complex
Miles Detention Unit,896 S. Cook Road,,"Safford, AZ 85546",85546,,,https://www.prisonpro.com/content/safford-arizona-state-prison-complex
Tonto Unit,896 S. Cook Road,,"Safford, AZ 85546",85546,,,https://www.prisonpro.com/content/safford-arizona-state-prison-complex
Catalina Unit,P.O. Box 24409,,"Tucson, AZ 85734-4409",85734,,,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
Cimarron Unit,P.O. Box 24408,,"Tucson, AZ 85734-4408",85734,,,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
Complex Detention,P.O. Box 24403,,"Tucson, AZ 85734-4403",85734,,,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
Manzanita Unit,P.O. Box 24401,,"Tucson, AZ 85734-4401",85734,,,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
Rincon Unit,P.O. Box 24403,,"Tucson, AZ 85734-4403",85734,,,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
Rincon Minors Unit,P.O. Box 24403,,"Tucson, AZ 85734-4403",85734,,,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
Rincon Minors Detention Unit,P.O. Box 24403,,"Tucson, AZ 85734-4403",85734,,,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
Rincon Transitory Unit,P.O. Box 24403,,"Tucson, AZ 85734-440",85734,,,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
SACRC Unit,P.O. Box 24400,,"Tucson, AZ 85734-4400",85734,,,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
Santa Rita Unit,P.O. Box 24406,,"Tucson, AZ 85734-4406",85734,,,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
Whetstone Unit,P.O. Box 24402,,"Tucson, AZ 85734-4402",85734,,,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
Winchester Unit,P.O. Box 24407,,"Tucson, AZ 85734-4407",85734,,,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
Apache Unit,PO Box 3240,,"St. Johns, AZ 85936",85936,,,https://www.prisonpro.com/content/winslow-arizona-state-prison-complex
Complex Lock-Up,2100 S. Hwy 87,,"Winslow, AZ 86047",86047,,,https://www.prisonpro.com/content/winslow-arizona-state-prison-complex
Coronado Unit,2100 S. Hwy 87,,"Winslow, AZ 86047",86047,,,https://www.prisonpro.com/content/winslow-arizona-state-prison-complex
Kaibab Unit,2100 S. Hwy 87,,"Winslow, AZ 86047",86047,,,https://www.prisonpro.com/content/winslow-arizona-state-prison-complex
Cheyenne Unit,P.O. Box 8939,,"San Luis, AZ 85349",85349,,,https://www.prisonpro.com/content/yuma-arizona-state-prison-complex
Cibola Unit,P.O. Box 8820,,"San Luis, AZ 85349",85349,,,https://www.prisonpro.com/content/yuma-arizona-state-prison-complex
Cocopah Unit,P.O. Box 8910,,"San Luis, AZ 85349",85349,,,https://www.prisonpro.com/content/yuma-arizona-state-prison-complex
